temperature,control,nastaw_t
56.54090667350141,14.0,58.0
56.44739948098548,14.0,58.0
56.91493544356517,8.0,58.0
56.12012430717968,23.0,58.0
56.16687790343765,15.0,58.0
56.82142825104924,8.0,58.0
56.7279210585333,15.0,58.0
56.260385095953595,21.0,58.0
56.260385095953595,17.0,58.0
56.16687790343765,19.0,58.0
56.35389228846954,16.0,58.0
56.260385095953595,19.0,58.0
56.07337071092172,21.0,58.0
56.40064588472751,16.0,58.0
56.260385095953595,21.0,58.0
56.16687790343765,21.0,58.0
56.02661711466375,23.0,58.0
56.21363149969562,20.0,58.0
56.307138692211566,21.0,58.0
55.79284913337392,29.0,58.0
55.74609553711595,25.0,58.0
56.21363149969562,19.0,58.0
55.652588344600005,31.0,58.0
56.35389228846954,18.0,58.0
56.260385095953595,26.0,58.0
56.260385095953595,25.0,58.0
56.35389228846954,25.0,58.0
55.97986351840579,31.0,58.0
56.02661711466375,27.0,58.0
55.69934194085798,32.0,58.0
56.35389228846954,22.0,58.0
55.88635632588985,34.0,58.0
56.35389228846954,24.0,58.0
56.07337071092172,32.0,58.0
56.21363149969562,29.0,58.0
55.93310992214782,34.0,58.0
55.69934194085798,35.0,58.0
55.93310992214782,30.0,58.0
56.35389228846954,28.0,58.0
55.69934194085798,40.0,58.0
55.88635632588985,33.0,58.0
56.307138692211566,29.0,58.0
55.93310992214782,38.0,58.0
56.16687790343765,33.0,58.0
55.79284913337392,40.0,58.0
56.02661711466375,34.0,58.0
56.40064588472751,32.0,58.0
56.54090667350141,34.0,58.0
56.58766026975938,35.0,58.0
56.12012430717968,42.0,58.0
56.16687790343765,37.0,58.0
56.260385095953595,37.0,58.0
56.634413866017354,34.0,58.0
56.260385095953595,42.0,58.0
56.21363149969562,40.0,58.0
56.307138692211566,39.0,58.0
56.44739948098548,38.0,58.0
56.77467465479127,36.0,58.0
56.681167462275326,40.0,58.0
56.7279210585333,39.0,58.0
57.055196232339085,35.0,58.0
56.40064588472751,47.0,58.0
56.49415307724345,40.0,58.0
56.96168903982314,36.0,58.0
57.28896421362893,36.0,58.0
57.008442636081114,43.0,58.0
57.055196232339085,40.0,58.0
57.3357178098869,37.0,58.0
56.634413866017354,49.0,58.0
56.96168903982314,38.0,58.0
56.8681818473072,43.0,58.0
57.3357178098869,36.0,58.0
57.38247140614487,40.0,58.0
57.195457021113,43.0,58.0
57.52273219491879,37.0,58.0
57.943514561240505,35.0,58.0
57.38247140614487,46.0,58.0
