temperatura,regulacja,nastaw_t
51.63177906641462,16.0,47.0
52.2863294140262,1.0,47.0
51.678532662672595,13.0,47.0
51.86554704770447,4.0,47.0
52.192822221510255,0.0,47.0
51.63177906641462,9.0,47.0
52.33308301028417,0.0,47.0
52.23957581776823,1.0,47.0
52.192822221510255,0.0,47.0
52.426590202800114,0.0,47.0
52.52009739531604,0.0,47.0
52.00580783647838,5.0,47.0
52.23957581776823,0.0,47.0
52.33308301028417,0.0,47.0
52.052561432736354,1.0,47.0
52.1460686252523,0.0,47.0
51.86554704770447,0.0,47.0
52.7538653766059,0.0,47.0
52.00580783647838,3.0,47.0
52.613604587831986,0.0,47.0
52.052561432736354,0.0,47.0
52.1460686252523,0.0,47.0
52.33308301028417,0.0,47.0
52.52009739531604,0.0,47.0
52.052561432736354,0.0,47.0
52.52009739531604,0.0,47.0
52.66035818408996,0.0,47.0
51.91230064396244,2.0,47.0
52.2863294140262,0.0,47.0
52.473343799058085,0.0,47.0
51.725286258930566,1.0,47.0
52.566850991574015,0.0,47.0
52.052561432736354,0.0,47.0
52.33308301028417,0.0,47.0
51.678532662672595,0.0,47.0
52.099315028994326,0.0,47.0
51.91230064396244,0.0,47.0
52.2863294140262,0.0,47.0
52.37983660654214,0.0,47.0
52.00580783647838,0.0,47.0
52.00580783647838,0.0,47.0
51.818793451446496,0.0,47.0
52.23957581776823,0.0,47.0
52.192822221510255,0.0,47.0
52.052561432736354,0.0,47.0
52.052561432736354,0.0,47.0
52.33308301028417,0.0,47.0
51.772039855188524,0.0,47.0
51.444764681382765,0.0,47.0
52.052561432736354,0.0,47.0
52.1460686252523,0.0,47.0
52.099315028994326,0.0,47.0
51.538271873898694,0.0,47.0
51.444764681382765,0.0,47.0
51.725286258930566,0.0,47.0
51.49151827764072,0.0,47.0
51.30450389260885,0.0,47.0
51.95905424022041,0.0,47.0
51.444764681382765,0.0,47.0
51.30450389260885,0.0,47.0
51.772039855188524,0.0,47.0
51.25775029635088,0.0,47.0
51.818793451446496,0.0,47.0
51.25775029635088,0.0,47.0
51.58502547015665,0.0,47.0
51.25775029635088,0.0,47.0
51.11748950757696,0.0,47.0
51.725286258930566,0.0,47.0
51.164243103834934,0.0,47.0
51.30450389260885,0.0,47.0
51.210996700092906,0.0,47.0
51.538271873898694,0.0,47.0
51.210996700092906,0.0,47.0
51.538271873898694,0.0,47.0
51.11748950757696,0.0,47.0
51.07073591131899,0.0,47.0
50.88372152628712,0.0,47.0
50.83696793002915,0.0,47.0
51.30450389260885,0.0,47.0
51.210996700092906,0.0,47.0
50.7434607375132,0.0,47.0
51.39801108512479,0.0,47.0
50.7434607375132,1.0,47.0
51.39801108512479,0.0,47.0
51.35125748886682,0.0,47.0
51.30450389260885,0.0,47.0
51.164243103834934,0.0,47.0
50.6031999487393,0.0,47.0
50.416185563707415,0.0,47.0
50.50969275622336,0.0,47.0
50.46293915996539,0.0,47.0
50.649953544997274,0.0,47.0
